見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
最新の医学・医療カンファランス,テーマ：①糖鎖のかかわる医療と疾病,,,３月１２日（木）１４：００～１６：００,県立医大紀三井寺キャンパス図書館棟（和歌山市）,,１００人（先着順）,,,県立医大生涯研修センター電話　０７３-４４１－０７８９　検索　和歌山県立医大病院,,,,,,,,
最新の医学・医療カンファランス,テーマ：②治験・臨床研究について,,,３月１２日（木）１４：００～１６：００,県立医大紀三井寺キャンパス図書館棟（和歌山市）,,１００人（先着順）,,,県立医大生涯研修センター電話　０７３-４４１－０７８９　検索　和歌山県立医大病院,,,,,,,,
県民のための公開講座（眼科）,テーマ：知っておきたい白内障手術後の目の病気と不満足,,,３月１４日（土）１４：００～１６：００,県立医大講堂（和歌山市）,,５００人（先着順）,,,県立医大眼科電話　０７３-４４１－０６４９検索　和歌山県立医大病院,,,,,,,,
いきいきシニアリーダーカレッジ受講生,高齢者の社会参加活動を促進し、地域活動をリードする人材を養成,,,５月～令和３年２月（月１・２回）,①和歌山市,おおむね６０歳以上の方など,①７０人（抽選）,①２０００円（受講料）,,,申込方法など詳しくは各問合先へ①県社会福祉協議会　電話　０７３-４３５－５２１４検索　和歌山県社会福祉協議会,,,,,,,
いきいきシニアリーダーカレッジ受講生,高齢者の社会参加活動を促進し、地域活動をリードする人材を養成,,,５月～令和３年２月（月１・２回）,②田辺市,おおむね６０歳以上の方など,②７０人（抽選）,②１０００円（受講料）,,,申込方法など詳しくは各問合先へ②田辺市社会福祉協議会電話　０７３９-２４-８３２９検索　和歌山県社会福祉協議会,,,,,,,
いきいきシニアリーダーカレッジ受講生,高齢者の社会参加活動を促進し、地域活動をリードする人材を養成,,,５月～令和３年２月（月１・２回）,③橋本市,おおむね６０歳以上の方など,③１６０人（抽選）,③１０００円（受講料）,,,申込方法など詳しくは各問合先へ③橋本市社会福祉協議会　電話　０７３６-３３-０２９４検索　和歌山県社会福祉協議会,,,,,,,
発達障害児・者・巡回相談,,,,①４月１６日、５月２１日、６月１８日の木曜日１１：００～１６：００,①橋本保健所,,,,,,電話、FAX、Eメールで住所、氏名、電話番号を希望日２週間前までに県発達障害者支援センターポラリス電話　０７３－４１３－３２００FAX　０７３－４１３－３０２０メール　polaris@jtw.zaq.ne.jp,,,,,,,
発達障害児・者・巡回相談,,,,②４月１７日、５月１５日、６月１９日の金曜日１１：００～１６：００,②御坊保健所,,,,,,電話、FAX、Eメールで住所、氏名、電話番号を希望日２週間前までに県発達障害者支援センターポラリス電話　０７３－４１３－３２００FAX　０７３－４１３－３０２０メール　polaris@jtw.zaq.ne.jp,,,,,,,
発達障害児・者・巡回相談,,,,③４月９日、６月１１日の木曜日１１：００～１６：００,③新宮保健所,,,,,,電話、FAX、Eメールで住所、氏名、電話番号を希望日２週間前までに県発達障害者支援センターポラリス電話　０７３－４１３－３２００FAX　０７３－４１３－３０２０メール　polaris@jtw.zaq.ne.jp,,,,,,,
発達障害児・者・巡回相談,,,,④５月１４日（木）１１：００～１６：００,④新宮保健所串本支所,,,,,,電話、FAX、Eメールで住所、氏名、電話番号を希望日２週間前までに県発達障害者支援センターポラリス電話　０７３－４１３－３２００FAX　０７３－４１３－３０２０メール　polaris@jtw.zaq.ne.jp,,,,,,,
